,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
496,Barinas,VE,2020-02-20 04:27:04,8.62,-70.21,83.17,54,4,5.77,clear sky,0.0,0.0
511,Ouro Preto Do Oeste,BR,2020-02-20 04:27:07,-10.75,-62.22,76.19,87,100,3.51,overcast clouds,0.0,0.0
515,Papetoai,PF,2020-02-20 04:27:08,-17.5,-149.87,84.2,66,20,10.29,few clouds,0.0,0.0
520,Metro,ID,2020-02-20 04:27:09,-5.11,105.31,83.86,71,0,16.71,clear sky,0.0,0.0
521,Eydhafushi,MV,2020-02-20 04:27:09,5.1,73.07,81.59,73,0,18.07,clear sky,0.0,0.0
535,Manzanillo,CU,2020-02-20 04:27:13,20.34,-77.12,76.41,69,68,8.81,broken clouds,0.0,0.0
537,Santa Cruz,BO,2020-02-20 04:27:13,-17.8,-63.17,75.2,94,75,2.24,broken clouds,0.0,0.0
538,San Cristobal,VE,2020-02-20 04:27:13,7.77,-72.22,82.4,65,20,2.24,few clouds,0.0,0.0
542,Manokwari,ID,2020-02-20 04:27:14,-0.87,134.08,81.81,67,23,10.07,few clouds,0.0,0.0
551,Bonoua,CI,2020-02-20 04:27:16,5.27,-3.6,82.4,94,40,4.7,scattered clouds,0.0,0.0
559,Mackay,AU,2020-02-20 04:27:18,-21.15,149.2,91.99,70,16,12.75,few clouds,0.0,0.0
562,Ahipara,NZ,2020-02-20 04:27:19,-35.17,173.17,82.99,73,93,1.01,overcast clouds,0.0,0.0
563,Port-Gentil,GA,2020-02-20 04:27:19,-0.72,8.78,80.29,84,100,11.01,overcast clouds,0.0,0.0
567,Benjamin Constant,BR,2020-02-20 04:27:20,-4.38,-70.03,78.8,100,40,0.31,scattered clouds,0.0,0.0
570,Epe,NG,2020-02-20 04:27:21,6.58,3.98,76.69,95,33,1.34,scattered clouds,0.0,0.0
578,Atambua,ID,2020-02-20 04:27:22,-9.11,124.89,83.91,65,74,3.94,broken clouds,0.0,0.0
