City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
202,Yining,CN,2020-02-17 21:16:15,29.04,114.56,33.55,77,76,1.05
203,Kirakira,SB,2020-02-17 21:16:15,-10.45,161.92,81.16,79,64,5.88
204,Bitung,ID,2020-02-17 21:16:15,1.45,125.18,73.4,100,40,1.86
205,Khandyga,RU,2020-02-17 21:16:16,62.67,135.6,-11.97,98,99,1.54
206,Dire,ML,2020-02-17 21:16:16,12.28,-10.97,83.46,9,0,4.7
207,Grindavik,IS,2020-02-17 21:16:16,63.84,-22.43,32.0,74,100,8.05
208,Santa Cruz Cabralia,BR,2020-02-17 21:16:16,-16.28,-39.02,82.4,74,40,12.75
209,Avera,US,2020-02-17 21:16:17,33.19,-82.53,62.6,77,90,4.7
210,Manaus,BR,2020-02-17 21:16:17,-3.1,-60.02,84.2,79,40,5.82
211,Pareora,NZ,2020-02-17 21:16:17,-44.49,171.21,64.85,79,30,4.16
212,Mount Gambier,AU,2020-02-17 21:16:17,-37.83,140.77,60.8,93,75,8.05
213,Asfi,MA,2020-02-17 21:13:46,32.3,-9.24,54.34,90,0,14.41
214,Coronado,US,2020-02-17 21:15:24,32.69,-117.18,72.0,68,20,8.05
215,Namatanai,PG,2020-02-17 21:16:18,-3.67,152.43,81.84,83,100,16.44
216,Khorixas,NA,2020-02-17 21:16:18,-20.37,14.97,70.47,55,82,10.22
217,Codrington,AU,2020-02-17 21:16:18,-38.27,141.97,62.56,90,90,13.38
218,Abbeville,FR,2020-02-17 21:16:19,50.1,1.83,46.4,81,100,13.87
219,Cozumel,MX,2020-02-17 21:16:19,20.51,-86.95,86.0,48,75,12.75
220,Harper,LR,2020-02-17 21:14:10,4.38,-7.72,78.4,87,0,4.36
221,Longyearbyen,SJ,2020-02-17 21:16:20,78.22,15.64,8.6,65,75,14.99
222,Souillac,MU,2020-02-17 21:16:20,-20.52,57.52,77.0,88,75,12.75
223,Nikolskoye,RU,2020-02-17 21:16:20,59.7,30.79,41.0,73,40,15.66
224,Sena Madureira,BR,2020-02-17 21:16:20,-9.07,-68.66,86.88,61,12,3.4
225,Almaznyy,RU,2020-02-17 21:16:21,48.04,40.05,32.0,90,83,8.95
